id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,categories,hashing_algorithm,genesis_date,sentiment_up,sentiment_down,developer_score,community_score,liquidity_score
crypto-com-chain,cro,Cronos,0.094914,3657629724,10343218.0,-1.65499,"['Smart Contract Platform', 'Exchange-based Tokens', 'Centralized Exchange (CEX) Token', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'GMCI Index']",Ethash,2018-11-14,77.78,22.22,,,
the-open-network,ton,Toncoin,1.47,3603688661,69051541.0,-1.74514,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Alleged SEC Securities', 'DWF Labs Portfolio', 'TON Ecosystem', 'Proof of Stake (PoS)', 'Pantera Capital Portfolio', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'GMCI Index']",,,6.67,93.33,,,
ethena-staked-usde,susde,Ethena Staked USDe,1.21,3435504038,6978676.0,0.04948,"['BNB Chain Ecosystem', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Arbitrum Ecosystem', 'Liquid Staking Tokens', 'Ethereum Ecosystem', 'Metis Ecosystem', 'Optimism Ecosystem', 'Aptos Ecosystem', 'ZkSync Ecosystem', 'Mantle Ecosystem', 'Linea Ecosystem', 'Base Ecosystem', 'TON Ecosystem', 'Manta Network Ecosystem', 'Scroll Ecosystem', 'Berachain Ecosystem', 'Kava Ecosystem', 'Blast Ecosystem', 'Mode Ecosystem', 'Fraxtal Ecosystem', 'X Layer Ecosystem', 'Zircuit Ecosystem', 'Morph L2 Ecosystem', 'Swellchain Ecosystem', 'HyperEVM Ecosystem', 'Yield-Bearing Stablecoin', 'Plasma Ecosystem']",,,,,,,
polkadot,dot,Polkadot,1.78,2932810515,109249507.0,-2.6726,"['Smart Contract Platform', 'Polkadot Ecosystem', 'BNB Chain Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Base Ecosystem', 'Proof of Stake (PoS)', 'Layer 0 (L0)', 'Pantera Capital Portfolio', 'GMCI 30 Index', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index', 'Governance']",,,46.88,53.13,,,
usd1-wlfi,usd1,USD1,0.999131,2743177106,228507159.0,0.01574,"['Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Ethereum Ecosystem', 'Aptos Ecosystem', 'Mantle Ecosystem', 'Tron Ecosystem', 'Morph L2 Ecosystem', 'World Liberty Financial Portfolio', 'Plume Network Ecosystem', 'Trump-Affiliated', 'Monad Ecosystem']",,,33.33,66.67,,,
aave,aave,Aave,176.94,2687974632,188902802.0,-2.69656,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Lending/Borrowing Protocols', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Harmony Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Base Ecosystem', 'Index Coop Defi Index', 'Stablecoin Issuer', 'Energi Ecosystem', 'Sora Ecosystem', 'Huobi ECO Chain Ecosystem', 'GMCI DeFi Index', 'Blockchain Capital Portfolio', 'GMCI Index', 'World Liberty Financial Portfolio', 'Coinbase 50 Index', 'Hydration Ecosystem', 'Governance']",,,100.0,0.0,,,
rain,rain,Rain,0.00760006,2579644518,23805340.0,-0.98756,"['Gambling (GambleFi)', 'Decentralized Finance (DeFi)', 'Options', 'Prediction Markets', 'Arbitrum Ecosystem']",,,0.0,100.0,,,
bitget-token,bgb,Bitget Token,3.49,2444326543,40783066.0,1.23434,"['Exchange-based Tokens', 'Centralized Exchange (CEX) Token', 'Ethereum Ecosystem', 'DragonFly Capital Portfolio', 'Morph L2 Ecosystem', 'Made in China']",,,,,,,
memecore,m,MemeCore,1.34,2297405578,11440942.0,-2.70535,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Meme', 'Binance Alpha Spotlight', 'MemeCore Ecosystem']",,,0.0,100.0,,,
tether-gold,xaut,Tether Gold,4355.72,2265379855,124097081.0,0.02442,"['Stablecoins', 'Tokenized Assets', 'Tokenized Gold', 'Ethereum Ecosystem', 'Real World Assets (RWA)', 'Tokenized Commodities']",,,75.0,25.0,,,
okb,okb,OKB,106.57,2234987915,14567459.0,-1.13633,"['Exchange-based Tokens', 'Centralized Exchange (CEX) Token', 'Ethereum Ecosystem', 'Sora Ecosystem', 'OKT Chain Ecosystem', 'GMCI 30 Index', 'GMCI Index', 'Made in China']",,,,,,,
falcon-finance,usdf,Falcon USD,0.9987,2219701859,829642.0,0.04017,"['Stablecoins', 'USD Stablecoin', 'BNB Chain Ecosystem', 'XDC Ecosystem', 'Crypto-backed Stablecoin', 'Synthetic Dollar']",,,,,,,
bittensor,tao,Bittensor,220.88,2116709296,66432573.0,-4.16837,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Layer 1 (L1)', 'DePIN', 'Bittensor Ecosystem', 'Polychain Capital Portfolio']",,,64.71,35.29,,,
near,near,NEAR Protocol,1.48,1894257415,108256925.0,-2.61353,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Layer 1 (L1)', 'Near Protocol Ecosystem', 'Ethereum Ecosystem', 'Alleged SEC Securities', 'FTX Holdings', 'Data Availability', 'Coinbase Ventures Portfolio', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'Alameda Research Portfolio', 'DragonFly Capital Portfolio', 'Pantera Capital Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'Circle Ventures Portfolio', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index', 'Chain Abstraction']",,,100.0,0.0,,,
ethereum-classic,etc,Ethereum Classic,12.13,1876040348,38507189.0,-1.89613,"['Smart Contract Platform', 'Layer 1 (L1)', 'Proof of Work (PoW)', 'Coinbase 50 Index']",Ethash,2015-07-30,100.0,0.0,,,
binance-peg-weth,weth,Binance-Peg WETH,2986.61,1806046663,20468548.0,0.27681,"['BNB Chain Ecosystem', 'Binance-Peg Tokens']",,,,,,,
jito-staked-sol,jitosol,Jito Staked SOL,156.75,1803631923,8192003.0,-0.65682,"['Solana Ecosystem', 'Liquid Staking Tokens', 'Neon Ecosystem', 'Liquid Staked SOL', 'Liquid Staking', 'Katana Ecosystem']",,,,,,,
midnight-3,night,Midnight,0.105395,1747829442,5248185913.0,39.69613,"['BNB Chain Ecosystem', 'Layer 1 (L1)', 'Cardano Ecosystem', 'Zero Knowledge (ZK)', 'Privacy Blockchain', 'Binance Alpha Spotlight']",,,87.05,12.95,,,
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,1745899705,0.0,0.0,"['BNB Chain Ecosystem', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Aptos Ecosystem', 'Real World Assets (RWA)']",,,,,,,
pi-network,pi,Pi Network,0.205623,1719594772,11378159.0,-0.88632,"['Layer 1 (L1)', 'Made in USA', 'Mobile Mining']",,,86.54,13.46,,,
